"","topfeatures(disney_plus_dfm1, n = 100)"
"anim",561
"famili",503
"comedi",412
"action",341
"adventur",341
"come",170
"natur",137
"fantasi",135
"documentari",116
"drama",100
"kid",100
"scienc",65
"fiction",65
"music",62
"histor",40
"sport",35
"buddi",32
"biograph",24
"antholog",16
"romanc",15
"superhero",15
"crime",11
"mysteri",10
"realiti",9
"parodi",6
"lifestyl",6
"game",6
"competit",6
"danc",5
"western",5
"varieti",4
"medic",4
"thriller",4
"concert",4
"film",4
"surviv",3
"disast",2
"opera",1
"melodrama",1
"romant",1
"spi",1
"travel",1
